BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Status
0,3900,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0,14.0,1.0,31.0,32.3573662868,Good
0,3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,7.0,0.0,13.0,29.343921089,Good
1,3900,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0,7.0,2.0,14.0,19.3738117654,Default
0,4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,8.0,0.0,13.0,29.390928055,Good
0,4000,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0,17.0,0.0,19.0,21.806563464,Good
1,4000,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0,10.0,0.0,8.0,41.286491948,Default
1,4000,17000.0,52012.0,HomeImp,ProfExe,22.0,3.0,1.0,7.0,1.0,9.0,32.221716760599996,Default
1,4000,45000.0,58350.0,HomeImp,Mgr,4.0,0.0,0.0,14.0,3.0,16.0,32.5847186108,Default
0,4000,64240.0,63990.0,HomeImp,Sales,5.0,2.0,0.0,13.0,1.0,23.0,25.678576091399997,Good
1,4000,74000.0,93000.0,HomeImp,ProfExe,3.0,1.0,3.0,16.0,2.2,9.0,35.6906981172,Default
0,4000,67625.0,80698.0,HomeImp,Mgr,11.0,0.0,1.0,18.0,0.0,25.0,39.128717628,Good
0,4000,67533.0,71865.0,HomeImp,Mgr,10.0,0.0,2.0,19.0,0.0,25.0,39.166328703,Good
0,4100,57992.0,63797.0,DebtCon,ProfExe,7.0,0.0,4.0,14.0,1.0,31.0,22.27817437,Good
0,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0,18.0,1.0,20.0,19.027704425,Good
0,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0,11.0,0.0,31.0,36.039640756,Good
0,4200,50216.0,58541.0,HomeImp,Office,19.0,0.0,0.0,17.0,0.0,19.0,20.20803267,Good
0,4300,71206.0,78698.0,DebtCon,Sales,3.0,0.0,0.0,11.0,0.0,31.0,34.181376516,Good
0,4400,53969.0,63869.0,DebtCon,ProfExe,7.0,0.0,3.0,14.0,0.0,30.0,23.581079239,Good
1,4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0,7.0,0.0,17.0,39.158084834,Default
1,4500,34184.0,46000.0,HomeImp,Mgr,4.0,0.0,1.0,10.0,2.0,22.0,29.069115794800002,Default
1,4500,66517.0,87000.0,DebtCon,ProfExe,10.0,0.0,4.0,10.0,0.0,34.0,30.939074252399998,Default
1,4500,118000.0,146870.0,HomeImp,ProfExe,4.0,2.0,0.0,17.0,1.0,20.0,37.6763483672,Default
1,4700,49100.0,58238.0,HomeImp,ProfExe,0.0,0.0,0.0,5.0,2.0,17.0,30.8454211292,Default
0,4700,88026.0,115506.0,HomeImp,ProfExe,6.0,0.0,0.0,15.0,0.0,27.0,29.20902258,Good
1,4700,26900.0,45000.0,HomeImp,ProfExe,9.0,1.0,2.0,8.0,1.0,16.0,26.891840246999998,Default
0,4800,56067.0,63102.0,DebtCon,ProfExe,9.0,0.0,3.0,13.0,1.0,30.0,21.583760121,Good
0,4800,80482.0,88342.0,HomeImp,ProfExe,7.0,0.0,0.0,23.0,0.0,11.0,43.717635112,Good
0,4900,58688.0,63348.0,DebtCon,ProfExe,9.0,0.0,3.0,15.0,2.0,31.0,22.544392837,Good
0,4900,159306.0,200447.0,DebtCon,Sales,6.0,0.0,0.0,11.0,0.0,22.0,39.219653192799996,Good
0,4900,57461.0,68494.0,DebtCon,ProfExe,8.0,0.0,4.0,15.0,0.0,30.0,22.795423552,Good
0,5000,12457.0,53448.0,HomeImp,Self,8.0,0.0,0.0,17.0,0.0,12.0,44.107951691,Good
0,5000,90059.0,113714.0,HomeImp,ProfExe,7.0,0.0,0.0,16.0,0.0,28.0,25.897316482,Good
1,5000,40000.0,70500.0,HomeImp,Mgr,0.0,0.0,0.0,5.0,2.0,8.0,34.667998544199996,Default
1,5000,100882.0,102700.0,HomeImp,Mgr,5.0,0.0,1.0,5.0,0.0,16.0,24.811265539800004,Default
1,5000,31000.0,47350.0,HomeImp,ProfExe,12.0,0.2,1.0,10.0,0.8,18.0,31.414527413000002,Default
1,5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0,8.0,0.0,14.0,34.372342656,Default
1,5000,100000.0,129694.0,HomeImp,Mgr,13.0,0.0,0.4,13.0,1.6,28.0,33.44230915,Default
1,5000,123000.0,157500.0,HomeImp,Mgr,9.0,0.0,0.6,19.0,0.6,26.0,35.4812230506,Default
1,5000,6000.0,38575.0,HomeImp,Self,7.0,0.0,1.0,28.0,3.0,42.0,29.7517536736,Default
0,5000,72517.0,86250.0,DebtCon,Mgr,19.0,0.0,1.0,25.0,1.0,24.0,29.0980532106,Good
0,5000,26037.0,35000.0,HomeImp,ProfExe,12.0,0.0,0.0,15.0,0.0,13.0,33.4669558838,Good
0,5000,39000.0,50340.0,HomeImp,Office,10.0,0.8,1.0,15.0,2.0,19.0,29.713937795200003,Good
0,5000,74225.0,89640.0,DebtCon,ProfExe,0.0,0.4,1.2,10.0,1.6,20.0,35.991453561200004,Good
0,5000,47131.0,65400.0,HomeImp,Office,2.0,0.0,0.0,4.0,0.0,4.0,38.7485892412,Good
0,5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0,4.0,3.0,14.0,34.800109201400005,Good
0,5000,59900.0,80800.0,DebtCon,ProfExe,15.0,0.0,0.0,18.0,1.0,18.0,30.1033627024,Good
1,5000,10171.0,26809.0,HomeImp,Office,13.0,3.0,6.0,19.0,0.0,24.0,24.4063904194,Default
1,5000,78893.0,82600.0,HomeImp,Mgr,16.0,0.0,0.0,11.0,1.0,34.0,26.2595472164,Default
1,5000,85165.0,107940.0,HomeImp,Mgr,6.0,5.0,3.0,10.0,5.0,28.0,36.9291321608,Default
1,5000,68000.0,75616.0,DebtCon,ProfExe,0.0,0.0,0.0,11.0,0.0,30.0,37.233230348999996,Default
1,5000,71571.0,85100.0,DebtCon,ProfExe,1.0,0.0,1.0,7.0,0.0,13.0,27.3304555726,Default
1,5000,81748.0,57327.0,DebtCon,ProfExe,14.0,1.0,2.0,12.0,2.0,17.0,30.2120844446,Default
0,5000,44674.0,59375.0,HomeImp,Office,10.0,1.2,1.0,15.0,1.4,19.0,26.448197463,Good
0,5100,159306.0,200447.0,DebtCon,Sales,8.0,0.0,0.0,11.0,0.0,22.0,40.308259362,Good
0,5100,85583.0,115341.0,HomeImp,ProfExe,7.0,0.0,0.0,15.0,1.0,28.0,26.257970132,Good
0,5100,87258.0,121382.0,HomeImp,ProfExe,6.0,0.0,0.0,15.0,0.0,28.0,25.444759149,Good
1,5100,129319.0,141875.0,HomeImp,Sales,7.0,1.0,0.0,13.0,0.0,36.0,25.650741224,Default
0,5200,43039.0,53521.0,HomeImp,Office,11.0,0.4,0.6,15.0,1.6,19.0,24.414763177,Good
0,5200,91250.0,110000.0,HomeImp,Office,24.0,0.0,0.0,10.0,1.0,12.0,34.3158475618,Good
0,5200,16324.0,45187.0,HomeImp,Self,6.0,0.0,0.0,18.0,0.0,11.0,42.712093844,Good
0,5300,66987.0,65111.0,HomeImp,Sales,4.0,1.0,0.0,15.0,1.0,22.0,40.442570389,Good
0,5300,44993.0,50673.0,HomeImp,Office,7.0,1.8,1.4,15.0,1.8,18.0,27.906122726,Good
1,5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0,8.0,0.0,12.0,29.686285916600003,Default
0,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,9.0,1.0,11.0,35.8385427,Good
0,5300,60826.0,80826.0,HomeImp,Mgr,10.0,0.0,1.0,18.0,0.0,25.0,38.591494028,Good
0,5300,83552.0,96809.0,DebtCon,ProfExe,0.0,0.2,1.2,19.0,1.6,18.0,28.423961906,Good
0,5300,47449.0,63895.0,HomeImp,Office,19.0,0.0,0.0,17.0,0.0,20.0,19.762113701,Good
0,5300,50934.0,62957.0,HomeImp,Office,21.0,0.0,0.0,16.0,0.0,20.0,19.350505633,Good
0,5400,54562.0,65474.0,HomeImp,Office,1.0,0.0,0.0,3.0,0.0,4.0,37.848771035,Good
0,5400,47844.0,52040.0,HomeImp,Office,8.0,0.2,1.2,16.0,1.4,18.0,24.701136262,Good
1,5400,45509.0,57453.0,DebtCon,Sales,4.0,0.0,0.0,8.0,0.0,22.0,32.906298886,Default
1,5400,59720.0,63450.0,HomeImp,ProfExe,5.0,0.0,1.0,17.0,1.0,20.0,23.939395223000002,Default
0,5400,86922.0,119846.0,HomeImp,ProfExe,5.0,0.0,0.0,15.0,1.0,28.0,26.354889295,Good
0,5400,68625.0,82304.0,DebtCon,Sales,2.0,0.0,0.0,11.0,0.0,30.0,32.05002349,Good
1,5400,78300.0,88000.0,HomeImp,ProfExe,8.0,0.0,0.0,9.0,3.0,19.0,33.7551177388,Default
0,5500,87765.0,101053.0,DebtCon,ProfExe,22.0,0.0,0.0,5.0,2.0,13.0,31.375542416,Good
0,5500,52897.0,65054.0,HomeImp,Office,20.0,0.0,0.0,16.0,0.0,19.0,20.654128896,Good
1,5500,69837.0,13770.0,HomeImp,Mgr,5.0,0.0,1.0,14.0,1.0,8.0,38.7485892412,Default
0,5500,93051.0,115374.0,HomeImp,ProfExe,6.0,0.0,0.0,16.0,1.0,27.0,27.646748505,Good
0,5500,87438.0,116679.0,HomeImp,ProfExe,6.0,0.0,0.0,16.0,1.0,27.0,28.417530896,Good
0,5500,72147.0,69918.0,HomeImp,Sales,4.0,2.0,0.0,13.0,0.0,23.0,43.404430238,Good
1,5500,37368.0,48502.0,HomeImp,Mgr,9.0,0.0,2.0,4.0,0.0,10.0,33.126483967,Default
0,5500,54562.0,66251.0,HomeImp,Office,1.0,0.0,0.0,4.0,0.0,3.0,41.452043532,Good
0,5500,71644.0,72696.0,HomeImp,Sales,4.0,2.0,0.0,13.0,0.0,22.0,40.442567785,Good
1,5500,85845.0,122205.0,DebtCon,ProfExe,5.0,0.0,0.0,14.0,1.0,26.0,32.676640875,Default
0,5600,53793.0,66379.0,HomeImp,Office,22.0,0.0,0.0,17.0,0.0,19.0,18.369540527,Good
0,5600,69435.0,83489.0,DebtCon,ProfExe,14.0,0.0,0.0,17.0,1.0,17.0,22.841092848,Good
0,5600,29648.0,39907.0,HomeImp,ProfExe,11.0,0.0,0.0,15.0,0.0,13.0,21.554949656,Good
0,5600,41439.0,53893.0,HomeImp,Office,8.0,0.2,0.4,15.0,1.4,19.0,24.651395744,Good
0,5600,15275.0,47954.0,HomeImp,Self,6.0,0.0,0.0,17.0,0.0,12.0,42.397769638,Good
0,5700,100934.0,111496.0,HomeImp,Office,23.0,0.0,0.0,10.0,0.0,12.0,38.750562668,Good
0,5700,49514.0,58249.0,HomeImp,Office,21.0,0.0,0.0,18.0,0.0,21.0,21.258026878,Good
0,5700,28127.0,36524.0,HomeImp,ProfExe,10.0,0.0,0.0,15.0,0.0,13.0,24.339533569,Good
0,5700,58494.0,68591.0,HomeImp,Office,0.0,0.0,0.0,6.0,0.0,4.0,41.185039558,Good
1,5700,70000.0,84579.0,DebtCon,Sales,0.0,0.0,0.0,8.0,1.0,17.0,30.120135920000003,Default
1,5700,58400.0,75000.0,HomeImp,ProfExe,4.0,0.0,0.0,15.0,2.0,26.0,34.276574737000004,Default
1,5700,80437.0,109647.0,HomeImp,ProfExe,10.0,0.0,0.0,9.0,0.0,14.0,34.826609479400005,Default
1,5700,77213.0,92661.0,DebtCon,Sales,0.0,0.0,0.0,8.0,1.0,16.0,41.777888631,Default
1,5700,74172.0,79846.0,DebtCon,ProfExe,0.0,0.0,0.0,13.0,0.0,28.0,47.415228659,Default
0,5700,54562.0,69172.0,HomeImp,Office,1.0,0.0,0.0,4.0,0.0,3.0,38.773685963,Good
0,5800,75000.0,90543.0,DebtCon,Mgr,18.0,0.0,0.0,25.0,1.0,23.0,38.940575356,Good
0,5800,79296.0,86885.0,DebtCon,Mgr,19.0,0.0,1.0,26.0,1.0,23.0,39.959108765,Good
1,5800,27791.0,46833.0,DebtCon,Mgr,3.0,0.0,0.0,7.0,1.0,13.0,30.187805389,Default
0,5800,159306.0,200447.0,DebtCon,Sales,7.0,0.0,0.0,11.0,0.0,21.0,43.20775979,Good
0,5800,58494.0,73804.0,HomeImp,Office,1.0,0.0,0.0,6.0,0.0,4.0,41.287423388,Good
1,5900,51736.0,28000.0,DebtCon,Self,1.0,2.0,1.0,3.0,1.0,8.0,38.7485892412,Default
0,5900,82912.0,91175.0,DebtCon,ProfExe,2.0,0.6,1.4,17.0,1.8,23.0,27.595273523,Good
1,5900,106650.0,61252.0,DebtCon,Mgr,1.0,0.0,6.0,21.0,4.0,23.0,28.027663766,Default
0,6000,95232.0,115977.0,HomeImp,Office,22.0,0.0,0.0,12.0,1.0,12.0,37.954336913,Good
1,6000,47625.0,85925.0,HomeImp,Office,0.0,2.0,1.0,13.0,4.0,26.0,28.8446271756,Default
1,6000,101030.0,132956.0,HomeImp,Office,13.0,0.0,2.0,10.0,0.8,23.0,36.0354565408,Default
0,6000,51000.0,86125.0,HomeImp,ProfExe,6.0,0.0,0.0,19.0,2.0,24.0,28.8446271756,Good
0,6000,53227.0,68700.0,HomeImp,Mgr,3.0,0.0,2.0,10.0,0.0,23.0,39.766428857200005,Good
0,6000,14000.0,61493.0,HomeImp,Office,23.0,0.0,0.0,27.0,1.0,13.0,25.414707788199998,Good
1,6000,40000.0,54600.0,HomeImp,ProfExe,4.0,0.0,4.0,8.0,0.0,19.0,39.853541524,Default
1,6000,18793.0,27750.0,HomeImp,Mgr,6.0,0.0,3.0,10.0,0.0,8.0,30.743787905599998,Default
1,6000,159306.0,200000.0,DebtCon,ProfExe,5.0,6.0,0.0,8.0,5.0,29.0,37.1844165126,Default
1,6000,77538.0,95500.0,HomeImp,Mgr,6.0,1.0,2.0,11.0,1.0,22.0,35.2225253824,Default
0,6000,129731.0,154113.0,HomeImp,ProfExe,12.0,0.0,0.0,18.0,0.0,19.0,33.7229162692,Good
0,6100,48500.0,62500.0,DebtCon,Mgr,7.0,0.0,4.0,9.0,2.0,11.0,35.4282549028,Good
0,6100,91704.0,114799.0,HomeImp,Office,22.0,0.0,0.0,11.0,1.0,12.0,36.746766237,Good
0,6100,48300.0,53388.0,HomeImp,Office,9.0,0.2,0.6,15.0,1.4,19.0,26.72002818,Good
0,6100,68743.0,65321.0,HomeImp,Sales,3.0,1.0,0.0,13.0,0.0,22.0,40.15052706,Good
0,6100,78753.0,95433.0,DebtCon,ProfExe,0.0,0.4,1.2,14.0,0.8,22.0,28.925117417,Good
0,6100,77265.0,97944.0,DebtCon,ProfExe,0.0,0.0,0.6,10.0,2.2,26.0,28.876463055,Good
0,6200,75657.0,84368.0,DebtCon,Sales,4.0,0.0,0.0,10.0,0.0,30.0,32.552543335,Good
0,6200,159306.0,200447.0,DebtCon,Sales,10.0,0.0,0.0,11.0,0.0,22.0,39.783818126,Good
0,6200,60354.0,87596.0,HomeImp,ProfExe,5.0,0.0,0.0,18.0,2.0,23.0,34.054811237,Good
1,6200,81015.0,130789.0,DebtCon,Self,3.0,0.2,1.0,7.0,2.0,17.0,31.6764517,Default
0,6200,70793.0,71552.0,HomeImp,Sales,3.0,2.0,0.0,14.0,0.0,23.0,40.315396587,Good
0,6200,75121.0,96462.0,DebtCon,ProfExe,0.0,0.0,0.4,20.0,1.0,17.0,27.167655962,Good
0,6200,133882.0,155222.0,HomeImp,ProfExe,9.0,0.0,0.0,18.0,0.0,19.0,20.616783656,Good
0,6300,99469.0,116260.0,HomeImp,Office,23.0,0.0,0.0,10.0,1.0,12.0,35.642270107,Good
0,6300,55000.0,69000.0,DebtCon,ProfExe,13.0,0.0,0.0,11.0,0.0,20.0,39.0685277548,Good
0,6300,54562.0,72890.0,HomeImp,Office,1.0,0.0,0.0,3.0,0.0,3.0,39.198068218,Good
1,6300,59793.0,98314.0,DebtCon,Self,2.0,0.0,0.0,10.0,0.0,8.0,23.897681998800003,Default
1,6300,65875.0,76000.0,DebtCon,Mgr,1.0,2.0,0.0,7.0,1.0,12.0,36.19596383220001,Default
0,6300,92659.0,117352.0,HomeImp,ProfExe,6.0,0.0,0.0,17.0,0.0,27.0,26.520049519,Good
0,6300,58052.0,70091.0,DebtCon,ProfExe,9.0,0.0,4.0,13.0,1.0,30.0,21.719595981,Good
0,6300,49498.0,64296.0,DebtCon,Mgr,6.0,0.0,4.0,9.0,1.0,10.0,38.577131937,Good
0,6300,79667.0,96988.0,DebtCon,ProfExe,1.0,0.0,1.2,12.0,1.4,21.0,29.835960721,Good
1,6300,12476.0,32559.0,HomeImp,Office,12.0,3.0,6.0,19.0,0.0,23.0,23.31951678,Default
0,6300,69357.0,73726.0,HomeImp,Sales,3.0,2.0,0.0,14.0,1.0,22.0,42.407814245,Good
0,6400,53476.0,70157.0,DebtCon,ProfExe,7.0,0.0,3.0,14.0,1.0,30.0,21.137981572,Good
0,6400,81116.0,86148.0,HomeImp,ProfExe,8.0,0.0,0.0,22.0,0.0,11.0,42.068268179,Good
0,6400,17491.0,63614.0,HomeImp,Office,23.0,0.0,0.0,27.0,0.0,12.0,40.244404369,Good
0,6400,65215.0,74332.0,HomeImp,Mgr,9.0,0.0,1.0,18.0,0.0,24.0,40.64461955,Good
0,6400,62746.0,75016.0,DebtCon,ProfExe,12.0,0.0,0.0,11.0,0.0,20.0,40.188123128,Good
0,6400,70035.0,78635.0,DebtCon,Sales,3.0,0.0,0.0,12.0,0.0,31.0,31.206129763,Good
0,6400,39687.0,51666.0,HomeImp,Office,9.0,0.2,1.0,15.0,1.0,19.0,26.1209597,Good
0,6400,9113.0,46351.0,HomeImp,Self,6.0,0.0,0.0,17.0,0.0,11.0,45.114319388,Good
0,6400,57887.0,74776.0,HomeImp,Mgr,3.0,0.0,1.0,11.0,0.0,22.0,28.756345434,Good
0,6500,47949.0,53102.0,HomeImp,Office,9.0,0.2,0.6,15.0,1.4,19.0,27.839006664,Good
0,6500,80739.0,97630.0,DebtCon,ProfExe,1.0,0.6,0.4,10.0,0.8,23.0,30.531264536,Good
0,6500,63144.0,76754.0,HomeImp,Mgr,2.0,0.0,2.0,11.0,0.0,23.0,29.055433128,Good
0,6500,33639.0,37345.0,HomeImp,ProfExe,11.0,0.0,0.0,16.0,0.0,13.0,24.227319339,Good
0,6500,78741.0,90599.0,DebtCon,ProfExe,0.0,0.0,0.6,13.0,2.0,25.0,29.198860669,Good
0,6500,22789.0,35836.0,HomeImp,Office,1.0,0.0,0.0,9.0,2.0,30.0,25.4055644372,Good
0,6500,75113.0,115900.0,HomeImp,Office,28.0,0.0,0.0,28.0,2.0,38.0,34.2215747224,Good
0,6500,55000.0,88300.0,HomeImp,Office,28.0,0.0,0.0,20.0,1.0,17.0,30.1296690722,Good
0,6500,60000.0,70000.0,DebtCon,ProfExe,9.0,0.0,0.0,5.0,2.0,24.0,36.022510874800005,Good
0,6500,70300.0,107500.0,DebtCon,Office,1.0,0.0,0.0,20.0,1.0,38.0,37.626032399799996,Good
1,6500,96314.0,105800.0,HomeImp,ProfExe,27.0,0.0,0.0,34.0,2.0,40.0,33.821966029600006,Default
0,6500,81145.0,117530.0,HomeImp,Office,28.0,0.0,0.0,27.0,1.0,38.0,34.345837692,Good
1,6500,159306.0,200447.0,DebtCon,ProfExe,4.0,6.0,0.0,7.0,5.0,29.0,53.79780451199999,Default
0,6600,62380.0,89742.0,HomeImp,Office,28.0,0.0,0.0,19.0,0.0,16.0,26.160494887,Good
0,6600,40926.0,50486.0,HomeImp,Office,10.0,0.6,1.0,15.0,2.0,19.0,27.532376107,Good
0,6600,95450.0,112630.0,HomeImp,Office,23.0,0.0,0.0,10.0,0.0,12.0,36.773458722,Good
1,6700,60301.0,70543.0,HomeImp,ProfExe,5.0,0.0,0.0,16.0,0.0,19.0,32.397593406,Default
0,6700,58741.0,68225.0,DebtCon,ProfExe,9.0,0.0,3.0,14.0,1.0,31.0,23.587013228,Good
0,6700,51855.0,58084.0,HomeImp,Office,21.0,0.0,0.0,16.0,0.0,19.0,19.549571698,Good
0,6700,29662.0,36195.0,HomeImp,Office,1.0,0.0,0.0,9.0,1.0,30.0,38.52863281,Good
0,6700,66587.0,70710.0,DebtCon,ProfExe,9.0,1.0,0.0,4.0,1.0,24.0,39.738576265,Good
1,6700,71925.0,20631.0,HomeImp,Mgr,4.0,0.0,0.0,15.0,1.0,8.0,53.79780451199999,Default
0,6700,54161.0,59714.0,HomeImp,Office,20.0,0.0,0.0,17.0,0.0,20.0,20.203517707,Good
0,6700,134616.0,155034.0,HomeImp,ProfExe,13.0,1.0,0.0,18.0,0.0,19.0,19.493871984,Good
0,6800,136951.0,160306.0,HomeImp,ProfExe,11.0,0.0,0.0,18.0,1.0,18.0,20.885093499,Good
0,6800,138691.0,160063.0,HomeImp,ProfExe,12.0,0.0,0.0,17.0,0.0,19.0,19.33336736,Good
0,6800,49809.0,65074.0,DebtCon,Mgr,7.0,0.8,4.0,10.0,3.0,10.0,39.215028911,Good
0,6800,139578.0,154602.0,HomeImp,ProfExe,12.0,0.0,0.0,17.0,0.0,18.0,22.325828788,Good
0,6800,57439.0,74816.0,HomeImp,Mgr,2.0,0.0,2.0,11.0,0.0,22.0,27.118653527,Good
1,6800,31000.0,42000.0,DebtCon,Mgr,4.0,1.0,0.0,9.0,2.0,26.0,29.219439356,Default
0,6800,45150.0,57150.0,DebtCon,Office,4.0,0.0,1.0,8.0,3.0,12.0,35.6882738692,Good
0,6800,56155.0,57912.0,HomeImp,Office,21.0,0.0,0.0,17.0,0.0,20.0,21.798513082,Good
1,6800,40886.0,27410.0,HomeImp,Mgr,6.0,1.0,0.0,0.0,1.0,5.0,38.7485892412,Default
0,6800,159306.0,200447.0,DebtCon,Sales,8.0,0.0,0.0,11.0,0.0,22.0,42.083901678,Good
0,6800,54562.0,72310.0,HomeImp,Office,1.0,0.0,0.0,4.0,0.0,3.0,40.787393229,Good
0,6800,75964.0,88754.0,DebtCon,Mgr,19.0,0.0,1.0,25.0,0.0,23.0,39.107501643,Good
0,6900,75880.0,113612.0,DebtCon,Office,1.0,0.0,0.0,19.0,1.0,38.0,17.965883444,Good
1,6900,53328.0,58088.0,DebtCon,Sales,2.0,0.0,0.0,8.0,0.0,21.0,35.764058362,Default
1,6900,5816.0,36828.0,HomeImp,Mgr,23.0,0.0,2.0,6.0,1.0,18.0,36.741986694800005,Default
1,6900,37055.0,83000.0,HomeImp,Sales,1.0,0.0,0.0,10.0,2.0,42.0,26.0694185528,Default
0,6900,97662.0,110046.0,HomeImp,Office,24.0,0.0,0.0,9.0,0.0,11.0,37.253150854,Good
0,6900,50387.0,68443.0,DebtCon,Mgr,7.0,0.0,3.0,9.0,2.0,10.0,40.717668846,Good
0,6900,49932.0,66042.0,HomeImp,Office,20.0,0.0,0.0,17.0,0.0,19.0,21.855494126,Good
0,7000,73873.0,111781.0,DebtCon,Office,0.0,0.0,0.0,19.0,0.0,38.0,19.273579455,Good
